Title,initial
"Integration by Parts: $\int \arcsin(x))dx$","2015"
"Calculating total error based on error of variables","2010"
"Is there a mathematical theorem that states the equivalence of curved and straight lines","2010"
"Rate of change: Simplifying the expression","2016"
"Prove inequality of functions","2016"
"evaluation of $\int_{0}^{1}4x^3\cdot \left\{\frac{d^2}{dx^2}\left(1-x^2\right)^5\right\}dx$","2014"
"Change of limits in derivation of Riemann-Liouville (Fractional) Derivative","2010"
"How to prove a derivative is measurable?","2014"
"How to prove $|F(x)|\leq\frac{M(b-a)^2}{8}$","2012"
"Integrable monotonic functions","2012"
"Implicit differentiation: $x^2y - 2x^3 - y^3 + 1 = 0$","2013"
"Derivative where x=a","2013"
"Limits involving indeterminate forms","2013"
"Min and max of a two variable function","2015"
"Prove there exists $x$ such that $f'(x)=\sin x$","2015"
"Why can the integrate from 2 to x^2 sin(t^3) be written as y/x?","2014"
"Is $ (x^3+1)^{30} $ the derivative of $(\int_0^{x} \ (t^3+1)^{10} \mathrm{d}t)^{3} $?","2014"
"Using the fundamental theorem of calculus when the upper limit of integration is $t^2$","2014"
"Surface Area of a Steinmetz Solid","2010"
"Prove or refute $f(n) * g(n) \ge f(n) + g(n)$","2010"
"Inequality using mean value theorem","2015"
"when do you use chain rule with square root","2013"
"Definition of improper Riemann integral","2014"
"Marginal cost function","2014"
"Is $f(x) = x^{5/3} − 5x^{2/3}$ defined over $(-\infty, 0]$?","2015"
"Differentiable function - Easy Calc","2010"
"show $\lim_{x\rightarrow\infty} x^n\exp(-x^2)=0$","2013"
"Spivak Calculus chapter 7 theorem 9","2013"
"Wallis Product for $n = \tfrac{1}{2}$ From $n! = \Pi_{k=1}^\infty (\frac{k+1}{k})^n\frac{k}{k+n} $","2014"
"Showing If A Function Is Convex/Concave","2014"
"Proving that two statements are equivalent","2012"
"How do you prove that 1 is the supremum of the set: $A=\{\frac{m}{n} | m,n\in \mathbb{N}\}$","2012"
"Area between two trigonometric curves","2016"
"How to choose the most significant denominator","2013"
"Riemann Sum Help","2013"
"Finding where the surface $z=2 + x + y^2$ intersects the $xy$ plane","2013"
"How to calculate this series/with factorial in the numerator?","2013"
"Is ""velocity of money"" explicitly/literally defined in Calculus terms? (Or is the word just being used colloquially for ""movement"")","2013"
"Prove there exist constant limiting integral","2015"
"Parametric Mimima of Two Moving Points","2015"
"Where is the highest point of $f(x)=\sqrt[x]{x}$ in the $x$-axis?","2012"
"Proving a property of vector fields","2015"
"Given $f'''(x)=e^x $with $f''(0)=6$, $f'(0)=10$","2015"
"Show $a e^x=1+x+\frac{x^2}{2}$ has exactly one real root","2013"
"Showing that $ae^x=1+x+\frac{x^2}{2}$ has exactly one real root (part 2)","2013"
"Show that its inverse, denoted by $h^{-1}$, is also a strictly increasing function.","2014"
"Calculate $\int \frac{1}{x-\sqrt{x}} \, dx$","2013"
"Finding the limit of a function?","2013"
"Tricky Calculus problem: Prove that the function increases as $b-a$ increases.","2016"
"To find volume of solid of revolution","2015"
"Help with deriving arc length formula?","2015"
"Let $f(x)$ be a differentiable function on real number line such that $\lim_{x\to \infty} f(x) = 1$ and $\lim_{x\to \infty} f'(x) = a$","2015"
"Definition of derivative with integrals","2015"
"How to transform my solution into math solution (vector calculus)?","2014"
"If $ I = \int_{0}^{1}x^{1004}\cdot (1-x)^{1004}dx$ and $J=\int_{0}^{1}x^{1004}\cdot \left(1-x^{2010}\right)^{1004}dx\;,$ Then $I/J$","2015"
"If the limit as $x$ approaches $3$ of $x^2$ is $9$, how do I use the epsilon delta definition to prove this?","2013"
"Simple Derivative $\frac{x}{\ln x}$","2013"
"Partial Derivatives and Dependent Variables","2010"
"find y' if y=ln(7x^2+3y^2)","2014"
"""Proof"" of chain rule","2015"
"If $f'(x)$ has atleast one root in $[a,b]$,then $f(x)$ has atleast two roots in $[a,b]$","2016"
"If $P(x)=2013x^{2012}-2012x^{2011}-16x+8$,then $P(x)=0$ for $x\in\left[0,8^{\frac{1}{2011}}\right]$ has","2016"
"Prove that the foot of the perpendicular from the focus to any tangent of a parabola lies on the tangent to the vertex","2014"
"Finding locally concave properties","2015"
"Getting a wrong result when calculating $\int \frac{x^3}{\sqrt{1-x^8}}dx$","2014"
"If $f,g$ differentiable on $(a,b)$ can I say $f+g$ differentiable on $(a,b)$?","2014"
"Need help counting oven time","2015"
"Evaluation of $ I = \int_{0}^{1}\frac{2x-(1+x^2)^2\cdot \cot^{-1}(x)}{(1+x^2)[1-(1+x^2)\cot^{-1}(x)]}dx$","2015"
"Finding derivative using product rule","2013"
"chain rule misunderstanding","2013"
"Applied Optimization: A box is to be made out of a 6 by 16 piece of cardboard.","2014"
"Proving $e^x \sin x$ is not uniformly continuous on $[0,\infty)$","2015"
"Finding the rate of change for the viewing angle","2014"
"Calculating the mass of a Surface","2013"
"Finding $H'(1)$","2013"
"Need help with a second derivative question","2015"
"If $\lim_{x \to \infty} \frac{f'(x)}{x}=2$ does it follow that $\lim_{x \to \infty} \frac{f(x)}{x^2}=1$?","2013"
"Parametric Equation Question","2010"
"Prove that $f(x)$ is bounded","2014"
"does this sum have a closed form formula","2016"
"Every real sequence is the derivative sequence of some function","2010"
"Is $f(x)=1/x$ continuous on $(0,\infty)$?","2010"
"evaluation of $\int\frac{1}{\sin^3 x-\cos^3 x}dx$","2014"
"Vertical/horizontal asymptotes","2014"
"computing $\lim_{X \to \infty }((x^3+2x)^\frac{1}{3}-\sqrt{x^2-2x})$","2014"
"Prove that there exists infinitely many pairs of positive real numbers $\alpha$ and $\beta$ such that $\alpha^\alpha = \beta^\beta$","2014"
"how to find the limit of sum here? Can it be transferred to an integral?","2016"
"Derivative log problem","2010"
"Greatest value of $f(x)= (x+1)^{1/3}-(x-1)^{1/3}$ on $(0,1)$","2014"
"Calculus discontinuities question?","2013"
"Confusing calculus question","2013"
"Volume and stationary values","2014"
"How to prove that $x^2+10\cos x=0$ has exactly 2 positive solutions?","2016"
"Solving quadratic complex equation","2014"
"Doubt in a step given in a document on Exact Differential Equations","2016"
"Solving a question using the fundamental theorem of calculus","2014"
"Find a general solution of the reducible second-order differential equation","2015"
"The population of a certain bacteria can multiply threefold in 24 hours. If there are 500 bacteria now, how many will there be in 96 hours?","2013"
"Showing that a function has a certain absolute minimum.","2013"
"$f'(a)=0$ then show that $f(a)=0$","2016"
"Solving for r in the equation $\int_{0}^{13} \frac{230}{(t+1)^{r} } dt = 375$","2014"
"Identity using Levi-Civita tensor","2016"
"Using geometric series and integration to simplify term","2015"
"Calculate the value of the integral.","2014"
"Inquiry on an integration exercise.","2016"
"Curriculum Derivative Error","2013"
"Differentiate with respect to w","2013"
"Triple chain rule problem","2013"
"Integration of $2x(x^2+3)$","2016"
"Given some $v,k$ how many functions exist that satisfy the constraints $\int_{0}^{a} f(x) dx = v$ and $f(a) = k$?","2015"
"$f(x)=\int_{0}^{x}|\log_{2}(\log_{3}(\log_{4}(\cos t+a)))|dt$.The smallest integral value of $a$ for which $f(x)$ is increasing $\forall x\in R$","2015"
"calculate $ \lim_{k\rightarrow\infty}\sin\left(kx\right) $","2013"
"Describe the curves followed by the raindrops in the following question","2015"
"Euler's integral problem","2014"
"If $a > 1$ then $a^2 > a$","2014"
"The construction of a continuous function f(x)","2012"
"Prove: $f(t)\leq t+1$","2012"
"Improper integral: $\int_1^{+\infty}\frac{\mathrm dx}{x(x+1)(x+2)\cdots(x+n)}$","2014"
"Prove that if $\alpha, \beta, \gamma$ are angles in triangle, then $(tan(\frac{\alpha}{2}))^2+(tan(\frac{\beta}{2}))^2+(tan(\frac{\gamma}{2}))^2\geq1$","2015"
"Given a convergent $\{(a_{n})^2\}$, divergent $\{b_{n}\}$, prove $\{a_{n}(\sin(b_{n})-1)\}$ converges","2010"
"Show that $x f \cdot f'' + f \cdot f' - x (f')^2 > 0$ for certain $f(x) = 1 + x - c x^2 + x^3 + x^4$.","2016"
"Find maximun $\overline{AB}=?$","2016"
"finding the minima and maxima of some tough functions","2010"
"Integral of $\sin x \cos x$ using two methods differs by a constant?","2012"
"Max/Min problem - Find proportions of a right circular cylinder","2015"
"Oblique asymptotes of $f(x)=\frac{x}{\arctan x}$","2014"
"Parametric differentiation","2016"
"Convergence/Divergence of $\sum_{n=1}^{\infty} \sin(1/n)$","2010"
"How to find a closed form solution to $\displaystyle\iint_{S}[[x+y]] dA$","2010"
"$(1-\frac{x}{n})^n\lt \exp(-x)$","2010"
"Implicitly differentiating a function","2015"
"How to determine the sign of :","2013"
"Volume of Solid of Revolution","2015"
"A farmer with $800$ ft of fencing wants to enclose a rectangular area and then divide it into four pens","2014"
"Derivative $\operatorname{arccos}x +\operatorname{arcsec}\frac{1}{x}$","2014"
"proof that odd polynomial has root","2014"
"Why are the rational numbers not continuous?","2014"
"Find $\log (2-x)$ in powers of x","2015"
"Finding derivative by using L'Hospital's rule","2013"
"Show that $f(b)\geq f(a)+f'(a)(b-a), \;\forall a,b\in \mathbb{R}$","2016"
"Is my solution correct? Differentiate $y = \left(x + \left(x + \sin^2 x\right)^4\right)^6$","2015"
"Why doesn't it work when I calculate the second order derivative?","2014"
"What is an equation for cosine function graphed below?","2013"
"Unsure about changing order of integration","2013"
"Solving an equation $x + x^{0.925} = 15$","2013"
"Given a curve, such as $1/x$, how to find which tangent is closest to its OWN interception with the y-axis","2014"
"series of two sequences","2014"
"Let $f(x,y)=(x^2)/(x^2+y^2)$, show that the domain for this function is all points $(x,y)$ except $(0,0)$","2015"
"Trigonometic Substitution VS Hyperbolic substitution","2014"
"Prove $g(x) \leq x^{−2/3}$ for all $ x>0$ using the given formulas","2016"
"Is there a non-continuous Riemann integrable function with an anti-derivative?","2016"
"Optimization with an ellipse","2012"
"How to compute the volume of this object via integration?","2010"
"How to prove that a conditionally convergent series can be rearranged to sum to any real number?","2010"
"Why is the integral expression for the length of a curve more complicated than the expression for area or volume of a figure rotated?","2010"
"equality of integrals without trigonometry","2013"
"Finding the radius of cylindrical shells when rotating two functions that make a shape about an axis of rotation (the shell method)","2015"
"Proving one function is greater than another","2013"
"Calculating the Riemann sum $\lim_{n \to \infty} { \sum_{k=1}^{n} { (\frac{nk-1}{n^3})\sin(\frac{k}{n}) } }$","2013"
"Show that $\sum_{n=1}^{\infty} {(-1)^n \sin(\frac{x}{n})}$ converges for $a > 0$ in $[-a,a]$","2013"
"Reading an article that takes the cross product of a vector and time.","2016"
"Integrating reciprocals of functions with known antiderivatives","2015"
"Show that $\int_a^b[x]\mathrm dx+\int_a^b[-x]\mathrm dx=a-b.$","2014"
"Differentiate $y=\frac 1 x$ from first principles","2014"
"Using the Ratio Test to find interval of convergence","2014"
"Limit involving harmonic number","2014"
"Certain Lagrange multiplier type of problem; don't know how to proceed without breaking laws of math","2016"
"Whether the sequence following is convergent?","2014"
"Is this possible","2013"
"cubic equation has $3$ distinct roots $\alpha,\beta,\gamma$","2016"
"How does differentiation of ""more general exponential functions"" work","2010"
"An inequality involving factorials and powers","2010"
"Decimal digits of Euler's number","2014"
"Polyhedron volume formula","2013"
"How do you integrate $\int \frac{1}{a + \cos x} dx$?","2012"
"Limit related to $\zeta(x)$","2016"
"Average and instantaneous rates of change","2012"
"What is the meaning of $\frac{0}{0}$?","2013"
"Calculating $\int e^{-|x|} \, dx$.","2013"
"Integration by Parts implies U-substitution?","2010"
"Is differentiating on both sides of an equation allowed?","2015"
"How to calculate$ \int_0^{\infty} e^{-x^2} \sin x dx$ in the most simple way","2014"
"MCQ on a function","2013"
"How to show that $\sqrt{1+\sqrt{2+\sqrt{3+\cdots+\sqrt{2006}}}}<2$","2013"
"Can I simplify logarithm of logarithm.","2013"
"Find the volume of the solid obtained by rotating the region bounded by the curves $y=x^2$, $x=4$ and $y=0$ about the $x$-axis","2013"
"Cylindrical Shell Volumes Problem","2013"
"Disk and/or Washer Methods","2013"
"d/dx Notation Explanation please?","2014"
"Approaching to zero, but not equal to zero, then why do the points get overlapped?","2010"
"Derivative of $F(y)=\int_{0}^{y}\sqrt{x^4-(y-y^2)}dx$?","2013"
"Vardi's Integral: $\int_{\pi/4}^{\pi/2} \ln (\ln(\tan x))dx $","2013"
"Differentiating both sides of an equation","2013"
"Convergence test for series","2013"
"Seeking formal explanation of definite integral over infinitesimal interval","2013"
"If $f$ is a quadratic and $f(x)>0\;\forall x$, and $g= f + f' + f''$, prove $g(x)>0\; \forall x$","2014"
"Did I derive this correctly?","2013"
"How do I put $\sqrt{x+1}$ into exponential notation?","2014"
"integration of $(1-x)^mx^n$ from $0$ to $1$, $m$ and $n$ positive integers","2015"
"$\sum c_{n}u_{n}$ converges if $\sum c_{n}$ converges absolutely and $\sum u_{n}$ converges.","2014"
"How to integrate 3rd deivative?","2016"
"Solving second order ODE with undetermined coefficients","2015"
"Finding the equation of a cubic function?","2015"
"Find Where the Function $3x^4-4x^3-12x^2+5$ is Increasing and Decreasing","2015"
"Finding Concavity in Curves","2011"
"Is $f'(x)$ monotonically increasing if $f''(x) >0$?","2011"
"What is $\frac{d}{dx}\left(\frac{dx}{dt}\right)$?","2011"
"The value of an integral of a piecewise defined function","2015"
"Implicit Differentiation","2014"
"Calculating the instantaneous position of an object constant speed and varying direction","2013"
"Find the limit of $(x^2-1)(2-\cos x)$ as $x$ approaches $0$","2014"
"Solve $f(x)=\int_{-1}^{1} f(t) \text{d}t$","2014"
"Describe the interior and boundary of the calculus function.","2015"
"Integrating square root function","2014"
"Calculus Proving","2015"
"Prove that $\frac{d}{dx}(\sec^{-1}x)=\frac{1}{x\sqrt{x^2-1}}$","2015"
"Prove by Mean Value Theorem $\frac{x}{1+x}<\ln(1+x)<x$ for $x>0$","2015"
"Trigonometric Expression Problem","2013"
"Second order implicit derivative","2013"
"Derive the equation of the locus of all points (exact question in description)","2013"
"Parametric Equations of a Circle","2013"
"Minimizing a multivariable function given restraint","2013"
"Explain the 1 + 2 + 3 in $ \frac{1 + 1 + 1 + \cdots}{1 + 2 + 3 + \cdots} = \lim_{n \to \infty} \frac{1}{(n+1)/2} $","2013"
"How does $\lim\limits_{n\to\infty} \sum_{i=1}^{n^2} 1$ result into 1+3+5...","2013"
"If $\left|f(x)\right|\leq x^2\;\forall x \in \mathbb{R}$. Then Cont. and Diff. at $x=0$","2015"
"Implicit Differentiation... the triple product rule?","2010"
"Finding maxima values of a multivariate function","2014"
"what is the general step to solve $f(x)\pm f(g(x))=m(x)$","2013"
"Find $\frac{dy}{dx}$ if $x(t) = \sqrt{\cos{t}}$ and $y(t) =\sqrt{\sin{t}}$ with $t \in (0, \pi/2)$","2016"
"Integration of $\displaystyle \int\frac{1}{1+x^8}\,dx$","2013"
"Evaluation of $\int\frac{1}{\sin^2 x\cdot \left(5+4\cos x\right)}dx$","2014"
"Prove that $\sup(f(x)\cdot g(x)) \leq \sup(f(x))\cdot \sup(g(x))$ for nonnegative $f$, $g$","2013"
"Derivate as a division of differentials","2013"
"partial derivatives in three variables for implicitly defined function","2016"
"Fredholm equation","2015"
"Existence of limit at infinity","2015"
"Calculus 2 - $\ln (1+x)$","2013"
"How do I start learning maths all over again","2016"
"Which of these are convergent or divergent","2014"
"If $f(x)=x^3+ax^2+bx+5\sin^2x$ is a strictly increasing function on the set of real numbers then $a$ and $b$ must satisfy the relation","2016"
"Critical points vs inflection points","2015"
"Find the derivative of $x\lfloor x\rfloor$","2016"
"Finding the fraction $\frac{a^5+b^5+c^5+d^5}{a^6+b^6+c^6+d^6}$ when knowing the sums $a+b+c+d$ to $a^4+b^4+c^4+d^4$","2013"
"Arc Length problem, not sure how to go about it.","2014"
"what is the exact value of $\operatorname e$","2014"
"Calculate a sum $1+4e+9e^2+...+n^2e^{n-1}$, where e is nth root of unity","2014"
"What is the formula for $\int \cos(\pi x)dx$?","2015"
"From geometric sequence to function","2013"
"Curvature and arc length","2013"
"Help to find the equation of the tangent line to the graph of the the curve at the point (1,4)","2015"
"what concept am I supposed to apply if second derivative is given.","2012"
"How can I prove a function is odd?","2013"
"Partial derivative of a multiclass linear classifier","2010"
"How to prove $\lim_{x\rightarrow \infty}f'(x)=0$ ？","2014"
"Equation of plane","2015"
"How to integrate $\iiint\limits_\Omega \frac{1}{(1+z)^2} \, dx \, dy \, dz$","2013"
"How to calculate this sum : $\sum_ {n=0}^{+\infty} \frac{1}{8^n(3n+1)}$","2016"
"Differential and Infinitesimals","2014"
"Given $G = \{(x,y,z) | x^2 + y^2 + z^2 \le 1, x \ge 0, y \ge 0, z \ge 0\}$ find angles","2016"
"Is $f(x)=|x\sin x|$ positive and not bounded function","2013"
"Determining where the derivative of a function equals zero, will always produce absolute max/min values. T/F?","2013"
"Does $\int_0^\infty\frac{x^\theta}{1+x^2}\ \mathrm dx$ converge?","2013"
"Invariance under transition of integral","2013"
"How to show that $\int_{a}^{b}\left \lfloor x \right \rfloor dx+ \int_{a}^{b}\left \lfloor -x \right \rfloor dx=a-b$?","2013"
"The notion of $s(f,P)$ in Darboux sums","2016"
"Calculus: Visualizing the bounded region to solve volume","2014"
"determining which values or solves solve $y'' - 2y' - y = 0$ for $e^{ r t}$","2014"
"common between family of lines","2013"
"Fluid Force on semicircular gate partially submerged","2013"
"Integration by substitution in a special case, ""inverting"" the interval","2013"
"Calculating the area of an elliptical region?","2013"
"MVT Differentiation","2013"
"What is the limit of the multidimensional integral?","2013"
"Domain of Ln(Ln(sinx)) and its derivative.","2013"
"Why is the number $e$ so important in mathematics?","2010"
"Show that a function is increasing.","2012"
"using chain rule with circular functions","2012"
"Help me solve this limit problem","2014"
"Arc length of an ellipse","2014"
"What is the purpose of the second variable in Taylors remainder theorem?","2015"
"$y=\sinh ^{-1}\left(\frac{x}{a}\right)$","2014"
"Construct function with known asymptotes","2014"
"If Graham's number used $4$s instead of $3$s, at which $G$ would that number be bigger than Graham's number?","2014"
"Calculus 1 - Optimization word problem minimize the distance","2016"
"I'm not sure why this statement about functions is false?","2016"
"How are these two equations equal?","2013"
"Understanding Leibniz formula: $D^n (f g) = \sum\limits_{k=0}^{n} \binom{n}{k} D^{n-k}f D^kg$","2016"
"evaluating this difficult integral","2013"
"Stokes's Theorem and Divergence Question","2012"
"Uniqueness and the indefinite integral of 1/(1-x)","2015"
"General solution to problems when you integrate with a limit being a new variable and then differeinate with respect to that variable.","2013"
"Prove $\int_a^b f(x)dx \leq \frac{e^{2L\beta}-1}{2L\alpha}\int_c^d f(x)dx$","2012"
"Use of open interval to define local maxima and minima","2015"
"How to find the absolute maximum of $f(x) = (\sin 2\theta)^2 (1+\cos 2\theta)$ for $0 \le \theta \le \frac{\pi}2$?","2015"
"Find the area of the enclosed region","2014"
"An application of the uniform convergence of sequence of functions?","2012"
"Darboux sums inequality","2012"
"Determine the real numbers $x, y, z, t$ satisfying an equation","2016"
