recent,Title,initial
"2014","How to prove $\exp(\ln M)=M$","2014"
"2012","greatest common divisor of the slots of $\operatorname{adj}(tI_n-A)$ and characteristic polynomial","2012"
"2012","Matrices and inner products, don't really know what's going on here.","2012"
"2012","Gram schmidt, incorrect answer","2012"
"2014","Eigenvalues of $B$ and $-B$","2014"
"2016","Prove that Either $T$ Is Diagonalizable or $T$ Is Nilpotent.","2014"
"2014","The trace of an $n\times n$ matrix $A$ with complex eigenvalues $\lambda_1,...,\lambda_n$ is...","2014"
"2014","Prove that every complex matrix is similar to an upper triangle one","2014"
"2016","Odd and even functions- a direct sum?","2013"
"2016","a question about a canonical form of a quadratic form using Gauss theorem","2016"
"2010","Characterizing orthonormal basis of I-c v v'","2010"
"2015","""If $A$ is a good matrix then $A^TA$ is even better""","2015"
"2013","Triangulating a 3d point","2013"
"2013","Linear functionals on the space of all square matrices","2013"
"2016","$\dim Ker(N^l)\leq \dim Ker(N).l$ for nilpotent $N$","2016"
"2014","Determine if b is in the span of the other given vectors.","2014"
"2013","True or false? About unitary operation.","2013"
"2013","Eigenvectors basis and orthonormal basis for of linear transformation $T$","2013"
"2016","rank of antisymmetric matirces","2016"
"2013","Is this alternative argument valid?","2013"
"2014","Does such $A,B$ exist?","2013"
"2016","Are eigenvalues of $ (I-BA-B\phi)^{-1}(B-B\phi)$ smaller than those of $(I-BA)^{-1}B$?","2016"
"2012","Wolfram alpha wrong on linear independence for 4d vectors?","2012"
"2014","Finding a linearly independent vector to a set of three vectors.","2012"
"2012","Gradient of distance metric","2012"
"2012","Finding the linear combinations of two vectors","2012"
"2013","Linear Algebra and Matrix Theory","2013"
"2013","Is the set $W = \{f(x) \in P(F) : f(x) = 0 \text{ or } f(x) \text{ has degree } n\}$ a subspace of $P(F)$ if $n\geq 1$?","2013"
"2016","Show $U^TQQ^TU$ = $Q^TUU^TQ$ $= I$, if $X=UDV^T$ is the skinny SVD of X and $X=QR$ is its skinny QRD.","2016"
"2016","Give the general solution of the equation in $Ax=b$.","2016"
"2016","cross product proof - vector between 2 other vectors","2016"
"2012","annihilator linear algebra","2012"
"2015","Is it possible to find a diagonalizable matrix in this situation?","2015"
"2015","Linear Transformation Basis for Range and Kernel","2015"
"2013","If $A \in Mat_{n \times n} (\mathbb{Q}) $ is a matrix, where $n$ is odd show that $A^2 \neq 2I.$","2013"
"2014","Showing linear dependence in a matrix","2014"
"2014","Is T well-defined? Find the matrix representation.","2014"
"2014","Does every theorem in $\mathbb{C}^n$ hold for $K^n$","2014"
"2014","Quick intersection question.","2014"
"2014","Orthonormal basis of vector space","2014"
"2014","Find the line between two planes (not using vector product).","2014"
"2014","Can a matrix have the same range and nullspace?","2014"
"2016","Criterion for a convex cone to be nonempty","2016"
"2016","similarity class of matrices","2016"
"2013","What is the most general unitary that commutes with a one dimensional projector in a finite dimensional Vector Space","2013"
"2014","Show that V=W1⊕W2","2014"
"2014","Is there necessary and sufficient condition on whether a symmetric circulant matrix is non-singular?","2014"
"2014","$T:V\to W$, both has same basis","2014"
"2013","Prove that $V$ is the direct sum of $W_1, W_2 ,\dots , W_k$ if and only if $\dim(V) = \sum_{i=1}^k \dim W_i$","2013"
"2016","Linear independence of $\sin(x)$ and $\cos(x)$","2013"
"2013","Is this subspace linear or affine?","2013"
"2016","Basis of subspace U","2016"
"2016","Prove $A^TA$ is similar to $AA^T$","2016"
"2013","Is it possible that $\ker(T) = \operatorname{im}(T)$ for some linear transformation $T:V \to V$?","2013"
"2013","One dimensional subspaces of a 3 dimensional vector space over $\mathbb Z/3\mathbb Z$, multiple choice","2013"
"2015","Is being positive and orthogonal sufficient for being identity?","2015"
"2015","Coprime Symmetric Matrices","2015"
"2014","Factorise matrix determinant","2014"
"2014","Proving that a minimal spanning set is linearly independent","2014"
"2015","Prove that $\bigoplus_{i \in I} U_i$ is a subspace of $\prod_{i \in I} U_i.$","2015"
"2014","$SAS^{-1}=\lambda A$ - show $\lambda^n=1$or A is nilpotent","2014"
"2013","A problem on self adjoint matrix and its eigenvalues","2013"
"2013","Visualizing the four subspaces of a matrix","2013"
"2013","Linear Algebra- independence and dependence","2013"
"2014","Solving for the determinant of a matrix?","2014"
"2015","$3$-linear functions on $\mathbb{R}^3$","2014"
"2013","Matrix of linear transformation format $(m,n)$","2013"
"2016","Definition of joint eigenvalue of $n$ matrices.","2016"
"2016","Proof about matrix invertibility using matrix norms and infima","2016"
"2013","Some remarks on JCF which I want to get verified","2013"
"2012","How to prove that a transformation T is linear?","2012"
"2012","If $T\alpha=c\alpha$, then there is a non-zero linear functional $f$ on $V$ such that $T^{t}f=cf$","2012"
"2015","Is it permissible to factor out a dot product?","2015"
"2014","All injective homomorphism of isomorphic vector spaces are isomorphisms","2014"
"2014","Rank of transpose of a matrix.","2014"
"2014","If $2i$ is an eigenvalue of $A_{2\times 2} \in \mathbb{R}^{2\times 2}$, find $A^2$","2014"
"2014","If $\vec{v}+i\vec{w}$ is an eigenvector of $A$, then so is $\vec{v}-i\vec{w}$","2014"
"2012","Show that $\| u+v \|= \| u\|+\|v\|$","2012"
"2016","A property of Loewner ordering","2016"
"2013","Prove that a linear transformation is invertible if and only if its associated matrix is invertible.","2013"
"2015","For what values of $k$ will the system have multiple solutions?","2015"
"2016","Why to use Gram-Schmidt process to orthonormalise a basis instead of cross product?","2016"
"2016","Help finding the determinant of a 4x4 matrix?","2016"
"2013","Vectors and Loci of points","2013"
"2013","How to show that $V= \text{Im }f \oplus \text{Ker }g$.","2013"
"2013","Stuck on a dot product proof","2013"
"2012","If $A$ is nilpotent, then $A^{*}A$ is nilpotent as well?","2012"
"2015","Does $ABC=D\implies \det(ABC)=\det(D )$?","2015"
"2014","Semidefinite Hermitian Matrices","2014"
"2015","what will be the value of $\det(A^2+B^2)$?","2015"
"2013","Same linear transformation, different basis.","2013"
"2013","Isomorphism and dimension","2013"
"2013","Is b in the span of {w_1, .. , w_p}?","2013"
"2013","Let $W$ be a subspace of a vector space $V$ and Let $T:W\to V'$ be a linear map","2013"
"2014","Gram-Schmidt orthogonalization basis for Continuous functions","2014"
"2012","Projection Matrix $I-A$","2012"
"2012","An invariant subspace question","2012"
"2012","What am I understanding wrong about how matrix-norm works?","2012"
"2012","Multiplicity of eigenvalues","2012"
"2016","How do I find dimension and basis of $\ker A$?","2016"
"2016","Proof of Sum of subspaces","2016"
"2013","Prove that matrix A have inverse","2013"
"2013","Help with a question regarding basis and dimension?","2013"
"2012","Definition of isomorphism of vector spaces","2012"
"2013","Special Matrices which have matrix-vector multiplication complexity less than $O(n^2)$","2013"
"2014","Find the projection matrix $P$","2014"
"2013","If $a,b,c \in R$ are distinct, then $-a^3-b^3-c^3+3abc \neq 0$.","2013"
"2014","Canonical Isomorphism between coker of the dual and ker","2014"
"2016","Show that $u, v, w$ are in the span of $\{u+v, 2u+3v, 4v+6w\}?$","2016"
"2016","Proof of linear independency","2016"
"2016","How do I expand $(x_1+x_2+...+x_n)^3$? I want to find the expectation value of this thing","2016"
"2016","Proof of orthogonal vectors","2016"
"2013","nondegeneracy of quadratic space","2013"
"2016","Tell if a system of vectors is a basis based upon the pivots...","2015"
"2014","How to prove that $T-2I$ is an isomorphism?","2014"
"2014","Normal to the reflecting plane","2014"
"2016","Finding time duration when clocks hand interchange position","2016"
"2013","find maximum length of sum of two vector","2013"
"2016","How can I get x such that $x^T Ax<0$ for this given A?","2016"
"2015","Prove that if $\operatorname{rank}(T) = \operatorname{rank}(T^2)$ then $R(T) \cap N(T) = \{0\}$","2013"
"2013","The dimension of the sum of subspaces $(U_1,\ldots,U_n)$","2013"
"2015","Existence of Invariant Subspaces","2015"
"2014","Generalizing a distance formula for lines and points in two dimensions","2014"
"2014","rank of specified matrix","2013"
"2013","Linear Algebra Text Problem","2013"
"2016","Third Non-Zero Vector T (linear algebra)","2016"
"2014","Is there a shortcut for taking this matrix to a certain power?","2014"
"2010","The orthogonal complement of the space of row-null and column-null matrices","2010"
"2013","Operator with powers","2013"
"2015","Geometric meaning of trace?","2015"
"2014","Inner Product Bilinear Form","2014"
"2014","direct sum of vector spaces","2014"
"2010","What are we solving with row reduction?","2010"
"2016","Why $\mathbf{0}$ vector has dimension zero?","2014"
"2014","Let $A \in$ Mat$_{n,n}(\mathbb R)$ be invertible and have the property that every row sum is $1$. Prove $A^{-1}$ has the same row sum property.","2014"
"2013","_True/False test:_ Let $A\in\mathbb C^{n\times n}$ such that $A^2=A.$ Then $\text{rank}A=\text{trace}A.$","2013"
"2014","Rotations in a multidimensional space using jordan canonical forms","2014"
"2015","existence of a linear map","2015"
"2015","Finding the basis B of the matrix T in which B is diagonal (i think i've got it)","2015"
"2014","Units of eigenvalues","2014"
"2014","Direct Sum, Vectors in vector Space","2014"
"2013","Change of basis of $P_2$","2013"
"2015","Intersection of two three dimensional hyperplanes","2015"
"2015","The annihilator of the span of linear functionals is equal to the intersection of the kernals?","2015"
"2016","Finding A Matrix For A Specific Operator","2016"
"2014","Show the comutativity of matrices","2014"
"2016","Finding linear transformation","2016"
"2016","Subspaces of $\mathbb{R}^{(0,3)}$","2016"
"2016","How to find the $T^{-1}$ of the matrix","2016"
"2015","Eigenvectors of a complex matrix","2015"
"2010","do two vector spaces have the same linear dimension?","2010"
"2012","For what matrices $A$ and $B$ is $\operatorname{tr}(AB) = \operatorname{tr}(A)\operatorname{tr}(B)$?","2012"
"2013","Monic polynomial with certain properties is the characteristic polynomial?","2013"
"2013","Gaussian Elimination SPD matrix","2013"
"2013","Formula of the determinant","2013"
"2014","proving a matrix is symmetric to its squared version","2014"
"2015","Let $u = (2, 3, 1)$, $v = (1, 3, 0)$, and $w = (2, -3, 3)$","2015"
"2016","The rank of a square 2 by 2 block matrix with singular square blocks","2016"
"2016","$T$ be linear operator on $V$ by $T(B)=AB-BA$. Prove that if A is a nilpotent matrix, then $T$ is a nilpotent operator.","2014"
"2014","How to tell if a columns of matrix are linear dependent?","2014"
"2014","Determinant of a matrix which is given as the difference of certain column vectors","2014"
"2014","Linear systems matrix initial value","2014"
"2016","Show a property of a vector space axiom equivalent to another property","2016"
"2014","Question in regards to definition: finite dimensional","2014"
"2014","Some questions about the Eigenvalues of this $4\times 4$ matrix","2014"
"2015","ordered partition, block matrix given by $r_j \times r_j$ nilpotent Jordan blocks is nilpotent, rational canonical form, jordan canonical form","2014"
"2015","The form of $2 \times 2$ unitary matrices","2013"
"2016","Proving the Product of Unitary Matrices is also Unitary","2016"
"2015","Is it true that two $3 \times 3$ matrices in $R$ are similar $\iff$ they have same determinant and same trace?","2015"
"2014","Vector equation of planes","2014"
"2015","GCSE maths question concerning indices","2014"
"2014","Finding Transformation inverse","2014"
"2016","Prove that if two vectors are linearly dependent, their sums are also linearly dependent","2016"
"2016","Basis of $P_2$ given a set of polynomials","2016"
"2013","Projection and inner product space","2013"
"2012","When is $PQ=QP$? $Q$ and $P$ are projections","2012"
"2013","linear Transformation of polynomial with degrees less than or equal to 2","2013"
"2015","Proving that $||A-B||=||A+B||\Leftrightarrow AB=0$","2010"
"2013","why I think wrong?","2013"
"2013","How to show that the linear operator is diagonalizable","2013"
"2016","How to solve for P in a similarity when matrices aren't diagonalizable","2016"
"2014","linear equation with that has trivial solution","2014"
"2016","Prove if $\sum_ja_{ij}Aj$ commute with each other, then $A_j$ commute with each othe","2016"
"2016","Existence of basis of $P_2$ with no polynomial of degree 1","2016"
"2016","Let $A$ and $B$ be nonnegattive matrices. What is the rank of $I + A^T A$, where $A^T$ is the transpose of $A$.","2016"
"2014","Linear Algebra determinant reduction","2014"
"2014","Linear system and subspaces","2014"
"2012","Alternate Characterization of the Matrix of a Linear Transformation","2012"
"2012","help simplifying vector arithmetic","2012"
"2015","How to find an orthogonal vector given two vectors?","2015"
"2010","How to show that you can find two subspaces that don't intersect","2010"
"2012","Prove $T$ is an isomorphism.","2012"
"2012","The length of a vector","2012"
"2012","An algebra of nilpotent linear transformations is triangularizable","2012"
"2014","Consider the linear transformation $T: \mathbb{R}^{2\times 2} \rightarrow \mathbb{R}^{2\times 2}$ such that $T(A)=A-A^T$","2014"
"2014","Why a matrix is a linear map","2014"
"2016","Diagonalization with complex eigenvalues","2016"
"2014","Self-adjoint and eigenvalues properties","2013"
"2016","Why can a system of linear equations be represented as a linear combination of vectors?","2016"
"2012","Two hermitian matrices that commute?","2012"
"2016","Rank-one Update to a Rank Revealing QR (RRQR) Factorization?","2016"
"2010","What do these sets have in common?","2010"
"2015","Singular values, again:)","2015"
"2013","Given a spanning set, what is the span of the 'transpose' of the set?","2013"
"2016","Let $V = C([a,b])$ be the vector space consisting of all functions $f(t)$ which are defined and continuous on the interval $ 0 \leq t \leq 1.$","2016"
"2016","How do I calculate dimension and base of $v$ if $A\cdot v=0$ and $A=\begin{pmatrix} 0& 2& -1\\ 2& 1& -1 \end{pmatrix}$?","2016"
"2013","Scalar product question","2013"
"2014","The real Matrix of change of basis. Not really. Only in $\mathbb{R}^n$.","2014"
"2013","How prove this $(x,y)H\binom{x}{y}\ge p(x^2+y^2)$","2013"
"2013","Vectors as basis for a subspace","2013"
"2014","Why are linear maps/transformations usually written with bases for the matrix representation?","2014"
"2014","Show that $0$ and $1$ are the only real eigenvalues of $A.$","2014"
"2016","How can I visualize independent and dependent set of vectors?","2016"
"2013","Linear span proof","2013"
"2013","A problem about the Linear transformations","2013"
"2014","What properties should a matrix have if all its eigenvalues are real?","2014"
"2013","What's the associated matrix of this linear operator?","2013"
"2013","Span of an empty list","2013"
"2013","Linear Algebra Transformations","2013"
"2013","Does having real eigenvalues have a geometric meaning?","2013"
"2015","Prove one situation happens","2015"
"2015","Solving parametric linear equation","2015"
"2016","Infinite Family of Subspaces","2016"
"2016","Calculate the matrix for the projection of $R^3$ onto the plane $x+y+z=0$.","2016"
"2014","How does the dimensions of the Kronecker product work out here?","2014"
"2014","What is the difference between Eigenvectors and the Kernel or Null Space of a matrix?","2014"
"2014","Rewriting a vector equation","2014"
"2014","Finding a basis for two subspaces of $\mathbb {R}^4$","2014"
"2014","4 equations with 4 unknowns analysis","2014"
"2014","Decide a subspace","2014"
"2015","Image of the matrix and its rref","2014"
"2014","Find the equation of the line that passes through the point $(2, 1, 0)$ and is perpendicular to the plane $4x - 3y + 5z + 3 = 0$","2014"
"2013","Inner product, smallest distance","2013"
"2016","Determinant of matrix defined by set partition","2016"
"2014","finding the jordan canonical with one eigenvalue","2014"
"2014","If $T$ is onto and the vectors $u_1, u_2, \ldots, u_k$, show $T(u_i)$ span $\mathbb{R}^n$.","2014"
"2015","Let $F$ be a field such that 1+1 is not equal to zero. Let $A$ element of $M_n(F)$ such that $A^T = -A$.","2015"
"2016","Find the matrix inverse","2016"
"2016","Classification theorem for vector spaces","2016"
"2014","Simultaneous diagonalizability of three endomorphisms","2014"
"2016","Finding the Optimum","2016"
"2015","Describe all solution of $Ax=0$","2015"
"2015","Determinant of special diagonal matrix","2015"
"2010","Is the proof of this lemma really necessary?","2010"
"2013","Proving that this set is linearly independent","2013"
"2013","How to resolve this algebra equation?","2013"
"2013","Minimal polynominal: geometric meaning","2013"
"2014","Minimal polynomials for a matrice in a given field and in its extension","2014"
"2014","How to use Sylvester's law of inertia to show positive definiteness","2014"
"2013","Show that there exists a subspace $W \subset \mathcal{P}(4)$ such that $\mathcal{P}(4) = \mathcal{U}(4) \oplus W.$","2013"
"2013","If the matrix of $f$ is diagonal, why is $f$ equal to scalar multiple of identity map?","2013"
"2013","Subspaces of a vector space","2013"
"2015","Does permutation-similarity of Kronecker products imply permutation-similarity of the factors?","2015"
"2010","The impossibility of decomposing the lower shift operator","2010"
"2014","Smallest non-zero eigenvalue of a (0,1) matrix","2014"
"2015","A problem on dimension of span of set of powers of a matrix","2015"
"2015","Proving the existence of a solution of a matrix (Linear Algebra)","2015"
"2015","Prove that $\bigcup_{U \in \mathfrak{F}} U$ is a subspace of $V.$","2015"
"2014","Kernel of a power of an endomorphism","2014"
"2016","If we have a basis $\{f_1,...,f_n\}$ of $V^*$, can we give a basis $\{x_1,...,x_n\}$ of $V$?","2016"
"2016","Multiplying matrices general question","2016"
"2016","""Hint request"" on how to solve linear algebra exercise (ex2,ch3,Peter Lax,2ed).","2016"
"2015","Let $f_1,\ldots,f_n\in V^{*}$ be linearly independent. Then for all $j$, there is $v_j \in \bigcap\limits_{i \neq j} \ker f_i \setminus \ker f_j$","2015"
"2013","Linear Algebra, Parseval's Identity","2013"
"2013","Does exists a matrix $B$ such that $A^TA=A^TB+B^TA$? with $B^TB$ being a diagonal matrix and $A$ an incidence matrix","2013"
"2016","What does the cardinality of a vector space depict?","2016"
"2013","Isometries are determined by 3 points","2013"
"2016","Find the projection of $b$ onto the column space of $A$","2014"
"2016","Questions about proving that isometries fixing the origin are invertible linear transformations","2016"
"2015","How to prove that a set is a vector space","2014"
"2014","This answer is confusing $4\times 4$ eigenvalue calculation","2014"
"2013","Given a reduced row exhelon form of a $4 \times 4$ matrix and two columns, how do you find the other two columns?","2013"
"2015","Finding the basis of a subset of polynomials","2015"
"2015","Linear Algebra. Bonus question Final Exam","2015"
"2014","Let $Q$ be a symmetric $n$ by $n$ matrix, there exists an orthogonal matrix $F$ such that $F^TQF=\operatorname{diag}(\lambda_1,\ldots,\lambda_n)$","2014"
"2016","Understanding Dot and Cross Product","2010"
"2013","Linear regression method help?","2013"
"2010","What is the difference between matrix theory and linear algebra?","2010"
"2013","inner product space and polynomial","2013"
"2012","Is the dual space of a subspace of a vector space simply its orthogonal complement?","2012"
"2013","Why don't we consider the zero subspace (which is readily $T$-invariant) in the definition of direct sum of linear operators?","2013"
"2014","Linear combination of inconsistent b and consistent b in Ax = b","2014"
"2013","Multiple choice question about the dimension of a space of $10 \times 10$ complex matrices","2013"
"2013","Linear Algebra : Positive definite","2013"
"2013","About $\mathcal{L}(V,W)$","2013"
"2013","does a matrix like this exist?","2013"
"2016","Prove $\mathrm{span}(T ) = \mathrm{span}(T \cup \{ 0 \} ) $","2016"
"2016","Are vectors linearly independent iff they form a basis?","2016"
"2013","Find all quadratic polynomials that are orthogonal to the function $e^x$ with respect to the $L^2$ inner product on the interval $[0,1]$.","2013"
"2013","Multiplication by $x^2$ linear maps","2013"
"2013","Is $V$ a vector space under these operations?","2013"
"2013","Sum of unitary transformation","2013"
"2016","$\|A\|_2^2\leqslant \|A\|_1\|A\|_\infty$ for square matrix $A$","2016"
"2015","Prove that $\dim(U \cap W) = 2$ and $U + W = V.$","2015"
"2014","Matrix that moves the graph of a polynomial.","2014"
"2013","How to find eigenvector v on the Generalized Discriminant Analysis algorithm?","2013"
"2016","All linear combinations of a set of vectors that equal a specific vector","2013"
"2015","Prove if $A \in Mat_{n,n}(\mathbb F)$ is both symmetric and skew-symmetric then $A=0$","2014"
"2013","Constrained orthogonal procrustes using the polar decomposition","2013"
"2016","Prove that if $V \cap \text{Span}\{u_1, u_2,...,u_k\} = \{ 0\} $, then $Au_1, Au_2,...,Au_k$ are linearly independent","2016"
"2016","Textbook errata for Linear Algebra: Ideas and Application by Richard C. Penney","2016"
"2014","Eigenvalues in terms of trace and determinant for matrices larger than 2 X 2","2014"
"2013","For a given real square matrix $A$ what is meant by $e^{kA}$ where $k$ is real.","2013"
"2013","About restriction of linear map","2013"
"2016","Geometric representation of the plane $y+2z = 1$","2016"
"2016","time and work problem explanation","2016"
"2016","Calculating the inverse of a matrix","2016"
"2015","Prove that there exists an $n × n$ matrix B such that $AB = 0$ but $B ≠ 0$.","2015"
"2015","How do I find values of a constant for which a list of vectors are linearly dependent?","2015"
"2015","Characteristic polynomial of $A^k$","2015"
"2014","linear transformation $\Bbb R^3 \to \Bbb R^2$","2014"
"2014","Linearly dependent or not","2014"
"2013","Properties of a Multilinear Function","2013"
"2013","unit length vector in kernel of matrix","2013"
"2013","non-singular bilinear form","2013"
"2015","Non-singularity of a matrix","2015"
"2016","Checking if a subset of $R^4$ is a subspace","2016"
"2013","Why is the inner product of polyvectors positive definite?","2013"
"2016","Riesz Representation Theorem in Linear Algebra","2016"
"2016","Show invertibility when not full column rank?","2016"
"2015","Inner product is a function from…to…?","2014"
"2013","Multilinear Functions","2013"
"2016","If rank(T) and null(T) are finite, prove that dim(V ) is finite","2016"
"2015","Faster way to find the rank of the following matrix?","2015"
"2010","which of the following are linear mappings?","2010"
"2013","Prove that if $\beta$ is an orthonormal basis for $V$ then $T(\beta)$ is an orthonormal basis for $V$","2013"
"2015","existence of a linear operator which extends linear map","2015"
"2015","Understanding operator norms","2015"
"2014","Let A be an m×n matrix and let B be an n×m matrix, so that both AB and BA are defines. Prove that:","2014"
"2014","Linear Algebra - Find out if the set of vectors $S$ is a basis for $P_2$","2014"
"2015","Let M be invariant under L. If x+y $\in$ M, where L(x) = $\lambda$x, L(y) = $\mu$y, and $\lambda$ does not equal $\mu$, then x, y $\in$ M.","2015"
"2014","Induced norm and powers of matrices","2014"
"2014","$S$ is a linear operator over $V$ with such that $S^n =0$ but $S^{(n-1)} \ne 0$","2014"
"2016","Show $w,L(w),L^2(w),\dots,L^{n-1}$ are linearly independent","2016"
"2015","Which matrices are conjugate to an integer valued matrix?","2015"
"2013","Some questions about scalar product","2013"
"2016","Any invertible matrix can be written as the product of an upper triangular matrix and a unitary matrix.","2016"
"2013","A question on linear operators","2013"
"2013","Matrix involving values of polynomials","2013"
"2013","On the proof of Extension of a Lin.Indpt Set to a Basis","2013"
"2013","Proof of linear independence of two functions","2013"
"2013","Linear map, polynomial","2013"
"2014","Is reducing a matrix to row echelon form useful at all?","2010"
"2013","Truncation of the projection of V - isomorphism","2013"
"2016","question about orthogonal vector","2016"
"2015","Length of projection of vector $v$ to $u$","2015"
"2015","Linear Independence - Prove or Give Counterexample","2015"
"2013","Common solution to two equations as a subspace","2013"
"2014","Least square solution","2014"
"2016","Generalized eigenvalue space of $P(\lambda)$ and $\lambda$","2016"
"2012","A Complex Matrix which commutes with No Nonzero Nilpotent matrices","2012"
"2015","Solving system of linear equations involving triangular matrix","2015"
"2013","If three corners of a parallelogram are known solve for the 3 possible 4th corners.","2013"
"2015","Find the characteristic polynomial of the matrix","2015"
"2015","Another definition in linear algebra","2015"
"2014","How do $\Bbb{R}$ and $\Bbb{R}^2$ have the same dimension over $\Bbb{Q}$ as vector spaces?","2014"
"2015","Find intersection between line and sphere","2015"
"2015","Find $X$ such that there exists a scalar $c$.","2015"
"2014","Showing Spans are the same","2014"
"2016","Which of the following matrices has the same determinant as matrix $G$","2016"
"2014","slanting of non-square matrix","2014"
"2014","Dimension of vector space of 2x2 skew symmetric matrices","2014"
"2013","Let $a_1,\dots,a_n$ be real numbers, and set $a_{ij} = a_ia_j$.","2013"
"2013","$A\ne 0:V\to V$ be linear,real vec space $V$","2013"
"2013","vector space generated by $\{I,A,A^2,\dots,A^{2n}\}$","2013"
"2012","Proof $||A||_{p} < 1 \Rightarrow \lim\limits_{k \rightarrow \infty}{A^k} = 0$ for any $A \in \mathbb R^{n \times n}$","2012"
"2015","Placing points in $\Bbb R^n$","2015"
"2014","Determine a transformation matrix","2014"
"2014","Eigenvalue formula","2014"
"2013","Does $x^T(M+M^T)x \geq 0 \implies x^TMx \geq 0$ hold in only one direction?","2013"
"2014","if $(a+\sqrt{a^2+1})$ and $(b+\sqrt{b^2+1})$ are converse then prove that a and b are opposites","2014"
"2014","Proving any linear map on a subspace of $V$ can be extended to a linear map on $V$","2014"
"2014","How to prove invertibility of a linear independent column matrix?","2013"
"2014","Theorem with seemingly reduntant part","2014"
"2014","interpertation of the determinant of an X'X product matrix (D-optimal design application)","2014"
"2013","Why $P_{L_0}P_L=P_{L_0}$ when $L_0 \subset L$?","2013"
"2013","Approximate simultaneous block-diagonalization of two matrices","2013"
"2014","Linear Algebra: equivalence classes","2013"
"2013","Vector space and vector subspace","2013"
"2013","Question from Artin's algebra book","2013"
"2014","How can I describe all matrices that can be written as a linear combination of three others?","2014"
