Title,initial
"What are the odds my building will be flooded?","2016"
"A subset $P$(may be void also) is selected at random from set $A$ and the set $A$ is then reconstructed by replacing the elements of $P$.","2015"
"The probability that non-negative difference of the digits at equal distances from both the ends is always one is","2015"
"Really large birthday problem as a spacefaring question.","2015"
"What is the probability that number of elements in $P$ is more than that in $Q?$","2015"
"Find a pdf of a function of a random variable","2012"
"Expected number of collisions","2012"
"The likelihood of being an accountant vs being an accountant and a plumber","2015"
"Probability, $2$ urns, one with $2$ black, and one with a white and a black ball.","2013"
"Moment Generating Functions","2010"
"Distribution of Functions of Random Variables","2010"
"Probability AND/OR","2013"
"distribute m pennies to n people, what is the expectation of coins one would obtain","2013"
"How many cells must I sample to have at least 3 mutated cells?","2014"
"PDF of the random variable $X$ if $X \exp(-imX)$ is exponentially distributed","2014"
"A question on CLT from Durrett.","2014"
"Is the following likelihood equation for a binomial experiment correct?","2013"
"Drawing cards without replacement: all kings before any jacks","2016"
"draw 6 cards out of poker deck, what is the chance to see at least one of diamond J Q and K？","2016"
"How does this limit of a sum work?","2013"
"calculate the probability of {X<Y}","2013"
"How to integrate this function to transform to beta distribution","2012"
"sum of random variables","2013"
"Which matrices give the same probability mass function","2016"
"Find the maximum number of students the class can contain.","2016"
"Probability to fit $1950$ items in a box that hold $1880$. Risk $5$%","2016"
"26% of adults wear contact lenses and two are selected randomly. Given that at least 1 of these adults wears lenses...","2016"
"Which way to go?","2014"
"Probability of rolling a specific number given different dice","2014"
"Probability question (Birthday problem)","2012"
"At least how many persons are required in a group so that the probability of two persons were born on the same day of the week is 0.5?","2015"
"probability puzzle, expected payoff for game","2012"
"3-dimensional light up cube, # of rows/cols/diags in/on a 4 × 4 × 4 cube","2014"
"Understanding and dealing with a probability problem","2015"
"Does independence of B with individual events imply independence with the union of these events?","2015"
"counter example about convergence in distribution","2012"
"Accounting for uncertainty in an Elo rating system for Foosball","2016"
"Principle of inclusion and exclusion/ Matching","2016"
"Probability density function of $Z = X + Y$","2016"
"Why the probability $P(X>Y)$ is the same as $P(\log X > \log Y)$?","2016"
"Constant probability density function","2014"
"Probability Question: Drawing balls from an urn","2014"
"lamps probability .","2014"
"Expected waiting time with $m$ tellers and $n$ customers at a bank","2015"
"What is the probability of winning at this game?","2015"
"what is the probability of subset of sample space events?","2015"
"Scaling of random variables","2013"
"Probability that on three rolls of dice, there will be at least one 6 showing up?","2015"
"Show that $(p(\text{not } B) - p(\text{not } A \cap \text{ not } B))/p(A) = 1-p(B|A)$.","2016"
"If I know nothing about the odds of two events, should I assume their odds are 50/50?","2016"
"Probability of at least N events occuring","2013"
"82% of an event in a persons life, what is the daily chance?","2013"
"Probability of A given B","2010"
"Determining convergency of random variable","2016"
"Converting non-uniform distribution to a uniform distribution","2010"
"Additional Law Word Problem","2013"
"probability of getting a double six ($2$ dice) rolling them $24$ times","2013"
"What is the probability that a randomly selected positive integer between 1 and 100 (inclusive) is square-free?","2014"
"Probability of a square landing within squares on a grid","2013"
"Another probability word problem","2013"
"Proving an upper bound for Prob[X>=E[X]]","2010"
"Find thickness of a coin","2010"
"""off by 1"" lottery probability","2015"
"Hypergeometric Distribution","2013"
"Problems with this reasoning (Gambling)","2015"
"If one of $n$ coins is fair, then find the probability that the total number of heads is even","2013"
"Consider two players P1 and P2","2015"
"Probability of a die; Expected Value as Infinite Sum?","2015"
"Finding Conditional Probabilities Problem","2012"
"Comparing the probabilities of rolling a $12$ or two consecutive $7$'s first with a pair of dice","2015"
"Question on overlapping sets","2013"
"Arrangements of children","2014"
"60 balls in a bag","2015"
"Modeling concurrent internet users","2013"
"Computing conditional probability combining events","2013"
"Example where $E \subset S$, $E \neq \emptyset$, and $P(E) = 0$?","2014"
"Probability of an exact number events over several periods","2013"
"probability: finding Probability density function","2013"
"probability that $YZ_1 > XZ_2$","2014"
"Where is this formula coming from?","2014"
"Use addition rules for determining probability of at least one head","2016"
"How to calculate perceptiles in a discute r.v?","2016"
"Probability Question: Picking Balls From An Urn","2013"
"How can I find the Probability?","2016"
"Probability of a duplicate after K tries out of combination of N","2016"
"Proof that Corr(X,Y) equals zero for uniform discrete R.V.","2014"
"Sums of pairwise independent random variables","2015"
"expectation in coin draw problem","2012"
"Central Limit Theorem/Markov's inequality","2012"
"Moments and non-negative random variables?","2010"
"Problem in Multiplication theorem.","2016"
"Why are independent events modeled as a binomial random variable?","2016"
"Expected value for $X, Y \sim \mathcal{U}[0,10]$ vs. expected value of $E(2x)$","2014"
"Uniform Distributions in Probability","2014"
"Probability of the sum of exponentials being greater than a number","2014"
"An integer between 1 and 1000 is chosen uniformly at random. Given that it is divisible by 4, what is the probability that it is divisible by 3?","2014"
"Uniform White Noise","2010"
"Probability that a student knows the answer","2014"
"Is $Cov(X,|X|)=VarX$ when $X\sim \{-1,0,+1\}$?","2013"
"Bayes theorem probability question","2012"
"Two fair cubical dice, find the values of $t$","2015"
"When flipping a coin, why is the expected time till 3 Tails in a row different from Tail-Head-Tail?","2016"
"Is there a better way to do this probability calculation?","2015"
"Finding an isotropic joint density from a marginal","2014"
"Suppose a random vector $X = (X_1, \ldots, X_n)$ where $\sum_{i=1}^n X_i^2 =1$, does the joint density of the random vector exist?","2016"
"Binomial Probability (Cubs vs Red Sox) - What am I doing wrong?","2015"
"What is the probability that I roll a 2 before I roll two odd numbers?","2014"
"What is the expected number of times the bug will land on $0$ before it lands on $4$ for the first time?","2014"
"After $10$ minutes, what is the probability that the fly is back on $A$?","2014"
"Probability of $j$ inversions in an array","2014"
"Expected number of loops","2010"
"If $A,B,C$ are events,$P(A)=0.85,P(B)=0.9.P(C)=0.95$.Then find the ranges of $P(A\cap B\cap C),P(A\mid(B\cap C)),P(B\mid(C\cap A)),P(B\mid(A\cap C))$","2015"
"A hand of cards contains 5 cards - probability","2013"
"A question about rolls","2013"
"Derivated distribution question","2015"
"Probability: Determine independent event from isosceles triangle problem","2015"
"Expected length of arc in a randomly divided circle","2013"
"How to make repeat winners unlikely in B.I.N.G.O.","2013"
"Conditional Probability Given at least","2014"
"If a monkey types each letter of alphabet exactly once, what is the probability of the word ""Hamlet"" appearing?","2014"
"Finding the law of $Z=\frac{X+Y}{2}$ given the law of X and Y.","2015"
"Probability that judges are right about their verdict","2012"
"Finding the density and $E(X)$ of nth element in a sequence of uniformly distributed random variables","2016"
"Probability of picking a face card on the 7th try","2016"
"property of complementary cumulative distribution function","2013"
"Tuesday Two Boys puzzle - Intuition for why the answer changes from $\frac{1}{3}$ to $\frac{13}{27}$?","2016"
"simple random walks on undirected graphs","2010"
"Probability of card decks being in the same order for N shufflers over X amount of time?","2010"
"Question about the independence definition.","2012"
"Variance question about fires in neighbourhoods","2013"
"Probability problem in textbook","2013"
"Probability question involving paths through computer network","2012"
"Weird conclusion about variance/covariance from differentiating","2012"
"Average distance between two points on a unit square.","2016"
"Probability of Winning in Sports","2016"
"Finding the expected score of a set of questions","2012"
"Randomising a Sequence","2014"
"N coin flips with at least three times heads or tails in a row (recursive probability)","2014"
"Feeling overwhelmed with this math explanation, what videos, courses, and books should I learn to help me digest this?","2015"
"In how many ways can 8 people be seated in a row? What is the probability that Al sits next to Bob?","2015"
"What's the probability of a set of only three digits appearing in a random 9 digit set?","2013"
"Really Big Decimals","2014"
"Calculating expected value of unknown random variable","2013"
"Infinitesimal vs zero probabilities in uniform continuous distributions","2016"
"Minimum probability of biased coin to satisfy particular condition","2013"
"Probability problem of cards","2014"
"Two players are playing a game by rolling a single die.","2015"
"How does a dependent domain in joint probability distributions affect integration limits?","2013"
"ELO in non-50%-chance-to-win games.","2015"
"Prior Distributions","2012"
"Why do these strategies for picking a random chapter in a book differ?","2012"
"probability sample of 26 will include 15 males and 11 female?","2014"
"Probability of Birthdays","2012"
"Probability that minimum of two numbers is less than 4","2015"
"probability question","2012"
"Probability, Why is this wrong?","2015"
"A question about probability (1)","2014"
"Summing up probabilities of mutually exclusive events","2012"
"A tricky probability question.","2013"
"Probability of getting ten unique numbers","2013"
"probability summation for an infinite sequence","2014"
"product distribution of two uniform distribution, what about 3 or more","2014"
"Probability and statistics problem","2014"
"Which way to calculate this probability is correct?","2015"
"Question for finding MP test in Uniform distribution","2015"
"Combined data of probability","2015"
"What is an intuitive way to think about the probability of simultaneous vs. sequential independent events?","2015"
"Rayleigh and Exponential distributions?","2014"
"Fair coin, three consecutive heads, p(TAILS=1)","2015"
"Expected value of the number of flips until the first head","2015"
"Distribution divergence and moment distance","2014"
"Prohorov theorem","2013"
"The man with two boys","2013"
"Probability of drawing cards in ascending order","2016"
"Deriving the probability of an event from limited trial data","2010"
"Probability generating function and expectation","2013"
"How to compute values of $Q(\lambda)$ distribution (Kolmogorov test)?","2013"
"How can I convert this percentage into odds?","2015"
"Probability of a specific event at a given trial","2012"
"Proving the conditional probability $E(y|x) = \operatorname{corr}(y,x) x/(\operatorname{stdev}(x)^2)$","2010"
"A sample of size n = 20 is drawn from a population with population proportion, p = 0.40. Find the mean","2013"
"A probability problem doubt","2014"
"Probability of at least one set of three consecutive equal numbers out of 24 random numbers","2014"
"Recovering random variable from its moments","2013"
"Did I answer this probability question correctly?","2013"
"Can the joint PDF of two random variables be computed from their marginal PDFs?","2012"
"How to find $E[\sqrt{X}]$ given only a distribution function?","2014"
"Conditional Probability (Where did I go wrong?)","2015"
"Flipping two coins, which is more probable?","2014"
"We have a box with 100 screws (90 good 10 defective). What is the prob. that we choose 10 non-defective?","2015"
"Set A = {1,2,3,4,5} Pick randomly one digit and remove it. What is the prob. that we pick an odd digit the 2nd time.","2015"
"random vectors and matices","2013"
"Finding covariance of two negative binomial distributions","2013"
"Odds of finding a suitable day","2015"
"Flipping 100 coins and getting all heads.","2016"
"How to calculate the following joint probability in the GBM model?","2012"
"Question on conditional independence","2012"
"Past coin tosses affect the latest one if you know about them?","2012"
"Expected return from casino ""Keno"" game","2012"
"Probability question on finding a defective ball in a specific box","2015"
"Prove $E[XY]=E[YE[X|Y]]$","2013"
"What is the difference between independent and mutually exclusive events?","2014"
"Continuity of $E[\max(x+Z,0)]$ as a function of $x$","2010"
"marginalising probability with itself","2016"
"Probability on spreading of rumors","2010"
"When to consider the ordering for probability.","2012"
"Find $p(B)$ given $P(A)$, $P(A\cup B)$, and one more piece of information","2012"
"Making list of pairs from the numbers","2016"
"What is the probability that $\min\limits_{i}\max\limits_{j} M_{ij}\gt \max\limits_{j}\min\limits_{i} M_{ij}$","2016"
"How to calculate the $4$th central moment of binomial distribution?","2012"
"X and Y are independent uniform random variables on [0,1]","2015"
"Probability Problem: Find the probability Roy loses his job","2016"
"Maximum of 2 random variables","2012"
"Intuition behind product rule of probability","2013"
"Probability of choosing two real numbers $a$ and $b$ from $[1,4]$ such that $ ab>4$.","2016"
"Poker game with dice","2012"
"How to calculate the probability","2012"
"Difference between a joint probability and the probability of an intersection","2013"
"A small question on probability about darts","2015"
"probability with replacement","2014"
"Prove that if A,B,C are mutually independent, the complements are independent","2015"
"Probability of a specific sequence","2015"
"Questionnaire probability","2015"
"How can I determine the expected cost to win a game that has a 1/100 chance of winning?","2014"
"How to determine if coin comes up heads more often than tails?","2010"
"A probability game","2010"
"Probability question involiving using negative binomial","2016"
"Little help with permutations","2013"
"Find the PMF of Y if Y=X/(X+1)","2016"
"Expected Value of a Truel","2016"
"Find the probability the sum of two dices equal to 4","2016"
"Find the probability of at least 1 three appearing when you roll 4 dice. Why is the probability low?","2014"
"probability, choosing the last ball as some color ball","2014"
"Binomial distribution and upper bound","2010"
"I think R(X) ={1,2,3,4} but how to find $f_x(k)$","2013"
"(yet another) length of random segment","2013"
"odds / percent is the game flawed or this seem accurate","2013"
"Joint PDF of dependent random variables","2013"
"Basic probability questions","2013"
"What is the probability of a coin landing tails 7 times in a row in a series of 150 coin flips?","2010"
"Tail bounds for maximum of chi-squares","2014"
"Compute average trials to approach statistical probability?","2015"
"Showing a distribution can have at most countable jump discontinuities","2015"
"Beginner Probability Question","2013"
"Geometric Brownian motion","2013"
"Using Poisson distribution to estimate if a printer is available? (I have the solution but don't understand it) [SOLVED]","2010"
"Coin tossing question","2014"
"A question involving the probability generating function","2014"
"Probability - Airplane passengers","2014"
"Probability and identical balls problem","2013"
"what is the mean of probability density function","2013"
"Computing convergence rate of a standard normal rv","2016"
"Difference between the average of $N$ coinflips","2012"
"(probability) Stuck on a proof in Grinstead and Snell","2015"
"Probability in card games ""The opening hand""","2016"
"Problem with a probability question.","2014"
"Expected number of steps before three counters reach N modulo 2N at the same time","2010"
"Probability of a submatrix with all 1s","2013"
"Compute Distribution of Linear Function","2014"
"Monkeys and Typewriters","2010"
"Question about a density funcion","2015"
"Find the probability that a student has siblings of a certain gender","2015"
"Probability of drawing N unmatchable socks from a pile of N matched pairs","2013"
"Odds of a members draw going off","2015"
"Why proportion of black balls in Polya Urn is not Markovian?","2015"
"Coupon Collector Problem Extension","2014"
"What are the odds that the pattern, win lose lose, will happen 23 times in a row (69 rounds)?","2015"
"Combinations/Permutations of 8 rooks on a chess board","2015"
"Conditional Probability (dice)","2016"
"Can it be a density for a bimodal distribution?","2016"
"Probability Math Question...?","2013"
"Why is my intuition wrong that one of two archers win in a tournament?","2016"
"Odds of 2 people answering exactly the same on a 1000 question multiple choice test","2013"
"Roll fair die until you get (1)","2014"
"Probability question on expected values","2013"
"Show Independence of two random variables $X$ and$Y$","2013"
"Flipping 2 coins, why is it more likely to get 1 head, 1 tail instead of 2 tails or 2 heads?","2013"
"Probability of an ordered extraction","2015"
"Probability of team winning in a single-elimination tournament","2014"
"How can I map a single parameter to an uneven probability?","2014"
"Derive the marginal probability function for X","2014"
"Using probability to determine dependent events","2013"
"a slightly different birthday problem","2015"
"If a sequence of quadratic forms converges in probability and a random vector converges in distribution then $X_n^TQ_nX_n$ converges","2015"
"When the word TRIGONOMETRY is permuted, what it that probability that it begins with T or ends with O?","2013"
"Is it fair for all customers?","2014"
"Probability question involving MAP estimation","2016"
"Putnam Question Regarding Irrational Probability","2014"
"If I select two numbers $x_1,x_2$ from the interval $(0, 1) $, what is the probability $x_1 <x_2$?","2015"
"Show that $\mathbb{E}(e^{tX})<\infty$","2015"
"Urns version of Laplace's law of succession","2013"
"Polya urn scheme probability calculation","2014"
"Find the probability that the lower face of the coin is a head","2016"
"conditional probability dice problem","2015"
"Derivation of equalities from odds ratio","2013"
"Two approaches for determining the probability for the value of a random variable lead to different solutions","2016"
"probability of $3$ numbers out of $49$ in a lottery","2014"
"The probability that the player gets all distinct cards is?","2016"
"On proving events have nonempty intersection if the sum of their complement is smaller than 1","2014"
"Probability of meeting the right partner","2014"
"Is this a correct Monte-Carlo expression for $\pi$?","2014"
"Probabilistic Robotics Bayes' Rule","2013"
"The tea bag problem: probability of extracting a single bag of tea","2016"
"An occupancy problem","2010"
"Is the Monty Hall problem easier to understand in terms of complements?","2016"
"Why does the author of this probability book make a certain assumption to state the independence of R.V.'s X and Y?","2015"
"Simple conditional probability problem","2015"
"Prove $Y~\sim N(\mu_Y,\sigma_Y^2)$ when $Y= aX+b$ and $X \sim N(\mu,\sigma^2)$.","2016"
"Probability related math question","2012"
"From a group of $10$ boys and $5$ girls, a committee of $6$ students containing at least $2$ girls in chosen at random.","2015"
"Finding out probability that the last digit of a product is 5","2016"
"Probability of number of events where $p_{n+1} = \frac{1}{5}p_n$","2013"
"Using the partition theorem in probability questions","2013"
"probability of 1s next to each other in sequence of numbers","2014"
"Gambling puzzle and unintuitive results in probability","2015"
"Intitution behind independent events","2016"
"Permutation or combination for repeated chosen items?","2016"
"Conditional probability (two dice)","2016"
"probability that the birth days of 6 different persons will fall in exactly two calendar months","2016"
"Joint PDF of two random variables with Uniform Distribution","2015"
"Probability of Drawing Balls from Infinite Bag","2015"
"Does equality in distribution imply equality of expected value?","2010"
"poker probability","2016"
"Conditional probability problem $P(A,B,C)$","2016"
"Probability of getting maximum dots in n rolls of a die","2014"
"Finding EV and variance of the number of times a word occurs","2014"
"Pile of stones. Probability.","2013"
"maximization of earrnings","2013"
"probability of heads","2010"
"Covariance Arithmetic","2016"
"Solitaire probability","2015"
"$1/2$ or $1$? probability that all bacteria will die","2014"
"In a quiz contest,probabilities of teachers,boy students and girl students answering the question correctly are $\alpha,\beta$ and $\gamma$...","2014"
"Mathematical explanation for geometric probability formulas","2016"
"2 slightly different situations in which 2 coins are tossed. Does the knowledge of an observer effect the probabilities of the outcomes?","2010"
"Using Chebyshev's inequality to obtain lower bounds","2012"
"Consequences of boy/girl probability disparity on population","2010"
"Expected value of number of tosses until we get $k$ tails and $k$ heads","2014"
"3 selected cards on a set of 7 cards from a deck of 40 different cards.","2014"
"Card with 2 numbers, and extraction of 5 numbers from a box with 50 different numbers from 1 to 50.","2014"
"Multiple choice strategy","2012"
"Probability of 4 or fewer errors in 100,000 messages","2013"
"Does ""Gerrymandering"" Matter?","2013"
"Long-Run proportion that harmonic light bulb is on","2013"
"Probability with Discrete Random Variable","2014"
"They satisfy the equation but they aren't independent events","2014"
"Conditional probability of a union of two independent events","2015"
"How to break up Conditional probability on multiple evidence","2016"
"Probabilities for two bombs and a businessman","2016"
"Can't find the connection between 2 probabilities","2015"
"Finding a probability on an infinite set of numbers","2015"
"What is wrong with my reasoning?","2010"
"Q: Properties of a given conditional probability density","2016"
"Probability, at least..","2014"
"Rolling a dice until we have $5$ and an even number.","2014"
"Chance on throwing last number of full house with two die","2015"
"Object arrangement, 5 objects in 3 bins","2015"
"Expected Value and Summation","2013"
"Probability of winning a contest after people join","2015"
"What is a non-elementary event in Probability?","2015"
"Death rolls - 50/50?","2016"
"How to prove (or disprove) a non-negative r.v. with finite expectation also have finite second moment?","2014"
"Probability Theory, Chernoff Bounds, Sum of Independent (but not identically distributed) r.v","2010"
"What is the probability that nobody is born in the same month?","2015"
"Technique of Counting","2015"
"limit of probability","2013"
"Probability of A waits B at least 10 minutes","2016"
"A problem on probability theory","2016"
"What is the expected amount of sales the parlour can make before disappointing someone?","2016"
"Expected number of cards in the stack?","2012"
"Product of probability density functions","2013"
"Probability of getting at most 4 questions wrong out of 10 T/F questions","2016"
"# of seating arrangement in a 6 seat car","2014"
"probability 5 people have birthdays in 2 months","2014"
"How to solve this probability question that involves conditional probability?","2015"
"Density of a function of random variables","2010"
"Doubts on a probability problem","2010"
"Probability - Doubt with Identical term","2012"
"Bayes Theorem application confusion","2014"
"How do you find the distribution of Y?","2016"
"Increasing the difficulty to guess values using random digit position choices","2014"
"On the Total Number of Tries Required to have $n$ Successes","2012"
"Expected outcome of dice roll modified by a reduction","2014"
"Effects of condensing a random variable to only 2 possible values","2010"
"Conditional probability - Proof","2016"
"Probability of choosing the correct color game","2015"
"Additional information in conditional probability problem gives a different answer but this does not seem correct to me?","2015"
"Probability of a group of people voting yes or no","2015"
"Geometric distrubution and expectancy","2011"
"Probablity: Is my way of thinking correct?","2015"
"How many tosses for 95% centainty that coin is not fair","2015"
"Solving for Conditional Density","2015"
"Probability of getting 5 multiple-choice questions answered correctly","2013"
"random walk on the nonnegative integers","2011"
"Splitting up A Conditional Probability","2014"
"1-D Random walk expectation calculation","2011"
"probability question related to pattern in coin tossing","2011"
"What is the probability that the coin drawn is fair","2011"
"What is the expected value? Three dice are rolled. For a 1 dollar bet you win 1 dollar for each 6 that appears (plus dollar back). No 6, lose dollar.","2015"
"Whats the probability of three parts failing given","2016"
"Given enough time, what are the chances I can come out ahead in a coin toss contest?","2010"
"probability density functions","2013"
"probability of getting same person","2013"
"Bayes' Theorem in Stephen Baxter's Manifold: Time","2013"
"How to check that probability adds up to $1$","2013"
"Two cards are chosen from a deck of 52 cards without replacement.","2013"
"3 boys and six girls go to the theatre. The theatre gives out four free movie passes randomly.","2013"
"Independent Events- $P(\text{neither/exactly/at least one})$","2014"
"Is this probability method correct?","2012"
"Probability of multiple-choice answers in questions","2012"
"very simple conditional probability question","2010"
"Proving that if $X$ is a non-negative random variable, $E[X]=\sum_{j\ge 1}{P(X\ge j)}$.","2015"
"Generalised Birthday Paradox - bins problem","2013"
"Probability of winning sweep stakes, put all coupons in one box or split them between boxes?","2010"
"Three fives dice toss","2013"
"Playing card problem solution verification","2014"
"Probability Tree Hide Nodes Hide randomly","2014"
"Probability that Amy, Bill and Poor pete win money 6.042 MIT","2014"
"probability for the product of two random numbers (within 0 to 1) is larger than 1/2","2013"
"Probability distribution for the sum of two variables (binomial and uniform) - Specify distribution","2013"
"What is the probability that a player with bankroll of x, flat betting y amount on odds z will bust before he can double his bankroll?","2016"
"What is the probability of getting at least one $3$ when rolling two standard dice?","2015"
"Normal Distributions and Claim Amounts","2010"
"An interesting probability calculation problem","2013"
"An intuitive understanding of the equation $Var(X)=E(X^2)-E(X)^2$","2014"
"How can I calculate this generating function?","2015"
"Conditional expectation of $E(x\mid x+y)$, $x,y$ normally distributed","2016"
"Multiple Weighted Coin Toss Probability","2014"
"Probability when spinning a disk","2014"
"Proving the Probability of a Subset","2014"
"Probability of A given B given C","2015"
"Prove that $|r-\mu|\le \sigma\sqrt{2}$","2015"
"Expected Value and Distribution Functions","2010"
"What's the name of this stochastic process?","2010"
"Binomial Distribution","2010"
"Expected Value of Matches Played Between Two Teams","2012"
"4% prob per month, what is prob per year?","2015"
"Probability distribution of the maximum of random variables","2010"
"Maximum value of probability","2010"
"Average of two i.i.d. random variables and their conditional expectations.","2013"
"probability question P(A/B)","2013"
"probability in permutations","2013"
"About relation between conditional variance and covariance determiant of gaussian vector","2013"
"Probability question help me please?","2013"
"Binomial Distribution word problem (basketball)","2015"
"Intuitively understanding the probability that one of the two coins is a head given that there is a tail","2016"
"What is the probability that an e-mail containing the word 'Win' is a spam?","2015"
"Choosing exactly 2 damaged pieces (Probability)","2014"
"Expected value of an expected value","2014"
"Probability of having lots of unique elements","2013"
"Discrete or Continuous Variables","2014"
"Tossing coins - basic probability example","2013"
"What will be expected value of smallest element of chosen set","2013"
"Conditional Probability of Jointly Distributed Random Variables.","2012"
"Giving $1 million to 10 friends if they share their lotto tics","2016"
"One Independent Trial, What is the Chance of One Result Occurring First?","2016"
"$P(A \cup B) = 1 - P (A' \cap B')$","2014"
"probability question: find min{a,b,c}","2013"
"Odds of winning contest","2016"
"Mean distance between a fixed point and a gaussian distributed random variable","2011"
"Flip a coin 6 times. What is probability of at least 4 heads?","2014"
"A Basic Doubt In Vocabulary used in Probability Questions","2016"
"Probability that a randomly chose poker hand has at least one Ace","2015"
"If $S_2$ reaches the semi-final then the probability that $S_1$ wins the tournament is $\frac{1}{20}$","2015"
"What is the probability that the letter came from LONDON?","2015"
"Showing that $\mathrm{Var}(XY)=E(X)^2 \mathrm{Var}(Y)+E(Y)^2\mathrm{Var}(X)+\mathrm{Var}(X)\mathrm{Var}(Y)$","2013"
"Probability of winning in a die rolling game with six players","2015"
"Probability of 2 students sitting next to each other.","2015"
"I am studying for a test and I got stuck on this proablity problem.","2015"
"Probability of two integers' square sum divisible by $10$","2013"
"Stars in the universe - probability of mutual nearest neighbors","2013"
"How to prove events A and B are exhaustive [Probability]","2016"
"Random variables definition","2015"
"Coin with unknown bias flipped N times with N heads, what is p(h)?","2012"
"A simple probability reasing to predict rain fall","2013"
"Probability of catching subway.","2013"
"A simple probability proof (?) concerning P(AB) given P(A)=P(B)=p","2014"
"The computation of this probability.","2016"
"Probability married couple problem","2015"
"Confidence Intervals for a proportion","2013"
"First one to roll an even number wins the game","2016"
"What is the expected return of this hypotetical lottery game?","2016"
"How to visualize the sample space of a biased event?","2013"
"How do you calculate conditional expectation for a single continuous r.v.?","2010"
"A pair of dice rolls and outcome","2014"
"Understanding Bayes' Theorem","2013"
"Conditional and Total Variance","2010"
"Packet of cards and probability","2012"
"Expected number of tosses so that 1 out of 3 bins has 2 balls in it","2010"
"Probability of impossible event.","2014"
"Two wins in a row in a game involving three players","2016"
"Filled suit vs. triple quads, which is more likely to happen first on average?","2016"
"Probability - at least question","2014"
"ordinary question: choosing balls from urn, confuse about the ""ordering""","2014"
"Probability of picking out coloured balls of different colours","2014"
"Limits of Integration for Join Distribution PMFs","2013"
